,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Sales_Boxcox,VisSqrt
94,FDA47,10.5,Regular,Baking Goods,163.121,OUT013,1987,High,Tier 3,Supermarket Type1,1794.331,43.98354024956334,0.3414333053467397
95,DRK49,14.15,Low Fat,Soft Drinks,41.4138,OUT013,1987,High,Tier 3,Supermarket Type1,812.276,31.723364589529375,0.18950937971509485
96,FDD03,13.3,Low Fat,Dairy,232.53,OUT046,1997,Small,Tier 1,Supermarket Type1,699.09,29.79485188143439,0.2825000283185827
97,FDS52,8.89,low fat,Frozen Foods,102.4016,OUT017,2007,Small,Tier 2,Supermarket Type1,2732.4432,52.17988277290215,0.07419892856369288
98,FDW39,11.94125,Regular,Meat,176.937,OUT019,1985,Small,Tier 1,Grocery Store,176.437,16.457604567566868,0.25421514903718856
99,FDX34,11.94125,Low Fat,Snack Foods,121.7098,OUT027,1985,Medium,Tier 3,Supermarket Type3,4097.3332,61.43676002049242,0.2676507743310301
100,FDD17,7.5,Low Fat,Frozen Foods,239.0906,OUT049,1999,Medium,Tier 1,Supermarket Type1,5942.265,71.30104261314634,0.18076968219256237
101,FDZ16,16.85,Regular,Frozen Foods,192.4478,OUT017,2007,Medium,Tier 2,Supermarket Type1,4843.695,65.70264927611564,0.4009489418866198
102,FDZ46,7.485,Low Fat,Snack Foods,109.0228,OUT035,2004,Small,Tier 2,Supermarket Type1,2542.0244,50.67594702940177,0.26288904503611404
103,DRA12,11.6,Low Fat,Soft Drinks,140.3154,OUT017,2007,Small,Tier 2,Supermarket Type1,2552.6772,50.761877146584766,0.20292241128076516
104,FDY58,11.65,Low Fat,Snack Foods,227.0694,OUT018,2009,Medium,Tier 3,Supermarket Type2,1141.847,36.5369061054938,0.2002028795996701
105,NCF19,13.0,Low Fat,Household,47.5034,OUT017,2007,Medium,Tier 2,Supermarket Type1,680.4476,29.459191074794937,0.18790242680710648
106,DRJ13,12.65,LF,Soft Drinks,159.0578,OUT045,2002,Medium,Tier 2,Supermarket Type1,2085.9514,46.76698989267488,0.25103355751771517
107,FDB14,20.25,Regular,Canned,92.512,OUT010,1998,Medium,Tier 3,Grocery Store,186.424,16.866232652228398,0.4146550144397147
108,FDJ38,8.6,Regular,Canned,190.153,OUT035,2004,Small,Tier 2,Supermarket Type1,3036.048,54.449938223844704,0.20049421936804063
109,FDW11,12.6,Low Fat,Breads,62.7194,OUT017,2007,Small,Tier 2,Supermarket Type1,866.8716,32.59465212757604,0.2214904377168459
110,FDL40,17.7,Low Fat,Frozen Foods,95.041,OUT035,2004,Small,Tier 2,Supermarket Type1,868.869,32.62588022727128,0.10775416465269451
111,DRI49,14.15,Low Fat,Soft Drinks,82.4276,OUT046,1997,Small,Tier 1,Supermarket Type1,1137.1864,36.47526952326257,0.42837751458264006
112,FDV38,19.25,Low Fat,Dairy,52.7956,OUT017,2007,Small,Tier 2,Supermarket Type1,928.1252,33.5329393840199,0.31992111371399046
113,DRG23,8.88,Low Fat,Hard Drinks,151.7682,OUT013,1987,High,Tier 3,Supermarket Type1,762.341,30.894353005365367,0.294463897617348
114,NCP30,20.5,Low Fat,Household,40.2822,OUT045,2002,High,Tier 2,Supermarket Type1,707.0796,29.937022373474363,0.18120471020368098
115,NCH54,13.5,Low Fat,Household,160.292,OUT046,1997,Small,Tier 1,Supermarket Type1,1438.128,40.175621055476185,0.269572105381844
116,NCR53,11.94125,Low Fat,Health and Hygiene,224.4404,OUT027,1985,Medium,Tier 3,Supermarket Type3,6976.2524,76.01417076038064,0.37991906111697005
117,FDS52,8.89,Low Fat,Frozen Foods,101.7016,OUT010,1998,Medium,Tier 3,Grocery Store,101.2016,12.783560823121475,0.09572468856047535
118,FDG02,7.855,Low Fat,Canned,188.5188,OUT018,2009,Medium,Tier 3,Supermarket Type2,952.094,33.88971721899728,0.10633455694175813
119,NCO26,7.235,Low Fat,Household,116.0492,OUT046,1997,Small,Tier 1,Supermarket Type1,1969.4364,45.685508390877956,0.2772284761708292
120,FDH35,11.94125,Low Fat,Starchy Foods,165.4526,OUT027,1985,Medium,Tier 3,Supermarket Type3,5262.4832,67.9207474181193,0.24486093195934708
121,FDB51,6.92,Low Fat,Dairy,60.5852,OUT045,2002,Medium,Tier 2,Supermarket Type1,1314.2892,38.71672153860766,0.19629585324198776
122,FDX44,9.3,Low Fat,Fruits and Vegetables,90.8172,OUT017,2007,Medium,Tier 2,Supermarket Type1,535.3032,26.628130360318302,0.20786914393435116
123,NCN07,18.5,Low Fat,Others,132.1284,OUT010,1998,Medium,Tier 3,Grocery Store,263.6568,19.64777663146212,0.2383620460559944
124,NCC31,8.02,Low Fat,Household,154.5972,OUT035,2004,Small,Tier 2,Supermarket Type1,1402.1748,39.76030097997214,0.14094929939520806
125,NCX54,9.195,Low Fat,Household,105.1622,OUT017,2007,Small,Tier 2,Supermarket Type1,1693.7952,42.95983082806222,0.2198447565897354
126,NCO55,12.8,Low Fat,Others,105.5938,OUT045,2002,Small,Tier 2,Supermarket Type1,2143.876,47.29084793036094,0.30202955981161844
127,NCC30,16.6,Low Fat,Household,177.6344,OUT049,1999,Medium,Tier 1,Supermarket Type1,2676.516,51.745036193142575,0.16619890493020703
128,FDB11,16.0,Low Fat,Starchy Foods,226.8404,OUT035,2004,Small,Tier 2,Supermarket Type1,6301.1312,72.99013486771585,0.24665061118918802
129,NCB06,17.6,Low Fat,Health and Hygiene,160.692,OUT035,2004,Small,Tier 2,Supermarket Type1,1597.92,41.94817570601005,0.28690853246287396
130,FDA45,21.25,Low Fat,Snack Foods,178.237,OUT035,2004,Small,Tier 2,Supermarket Type1,529.311,26.501615934595137,0.3941450228025212
131,NCO26,7.235,Low Fat,Household,117.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1969.4364,45.685508390877956,0.2772022636992707
132,DRJ25,14.6,Low Fat,Soft Drinks,50.3692,OUT017,2007,Small,Tier 2,Supermarket Type1,1034.6532,35.07800059199357,0.38912618133453836
133,FDR28,13.85,reg,Frozen Foods,161.521,OUT018,2009,Medium,Tier 3,Supermarket Type2,1794.331,43.98354024956334,0.16125128216544513
134,FDI04,13.65,Regular,Frozen Foods,197.6426,OUT018,2009,Medium,Tier 3,Supermarket Type2,2768.3964,52.45654514052891,0.2705724431644878
135,DRK12,11.94125,Low Fat,Soft Drinks,31.29,OUT027,1985,Medium,Tier 3,Supermarket Type3,898.83,33.08910067796747,0.20416532761465644
136,FDX20,7.365,Low Fat,Fruits and Vegetables,226.172,OUT046,1997,Small,Tier 1,Supermarket Type1,3169.208,55.401539139592494,0.20630136208954122
137,NCI18,18.35,Low Fat,Household,223.5746,OUT018,2009,Medium,Tier 3,Supermarket Type2,3589.9936,58.25626707493277,0.11866404678755903
138,FDN13,18.6,Low Fat,Breakfast,99.8358,OUT017,2007,Medium,Tier 2,Supermarket Type1,1910.1802,45.1203694290316,0.39104780270447753
139,DRD24,13.85,Low Fat,Soft Drinks,140.9154,OUT017,2007,Medium,Tier 2,Supermarket Type1,1701.7848,43.042529574942826,0.17598089100808645
140,FDQ28,14.0,Regular,Frozen Foods,154.5656,OUT013,1987,High,Tier 3,Supermarket Type1,2471.4496,50.100990546160105,0.24571686144829377
141,FDM22,14.0,Regular,Snack Foods,54.764,OUT013,1987,High,Tier 3,Supermarket Type1,1331.6,38.92559288901401,0.2047507020744984
142,FDR07,11.94125,Low Fat,Fruits and Vegetables,97.0094,OUT027,1985,Medium,Tier 3,Supermarket Type3,1808.9786,44.12972180110808,0.27815001527952504
143,FDV25,5.905,Low Fat,Canned,222.5456,OUT018,2009,Medium,Tier 3,Supermarket Type2,3315.684,56.42033259869844,0.2140986011164015
144,DRF49,7.27,Low Fat,Soft Drinks,114.2518,OUT046,1997,Small,Tier 1,Supermarket Type1,2618.5914,51.288731414336816,0.26660446170310054
145,FDW51,6.155,Regular,Meat,214.556,OUT046,1997,Small,Tier 1,Supermarket Type1,2769.728,52.46674937074206,0.30766844329570103
146,DRL01,19.5,Regular,Soft Drinks,233.4958,OUT017,2007,Small,Tier 2,Supermarket Type1,5375.0034,68.49807954539962,0.2785836283775484
147,FDP25,15.2,Low Fat,Canned,216.8824,OUT017,2007,Small,Tier 2,Supermarket Type1,2838.9712,52.99326913796148,0.1460392995053044
148,FDL50,12.15,Regular,Canned,125.0046,OUT018,2009,Medium,Tier 3,Supermarket Type2,1743.0644,43.46604995628705,0.20611997477197594
149,NCB30,11.94125,Low Fat,Household,198.8084,OUT027,1985,Medium,Tier 3,Supermarket Type3,5555.4352,69.40855590088958,0.15993287967144218
150,FDW11,12.6,Low Fat,Breads,61.9194,OUT018,2009,Medium,Tier 3,Supermarket Type2,619.194,28.314730693482687,0.22131606358328354
151,NCM43,14.5,Low Fat,Others,164.821,OUT035,2004,Small,Tier 2,Supermarket Type1,2120.573,47.08115910427031,0.1395409903935041
152,FDK44,16.6,Low Fat,Fruits and Vegetables,173.0738,OUT017,2007,Small,Tier 2,Supermarket Type1,3823.0236,59.7492795700377,0.35059784939443084
153,FDM15,11.8,Regular,Meat,151.4366,OUT013,1987,High,Tier 3,Supermarket Type1,1360.2294,39.26740267863803,0.23952828016749922
154,FDS31,13.1,Regular,Fruits and Vegetables,178.8318,OUT013,1987,High,Tier 3,Supermarket Type1,3969.4996,60.65929012692602,0.21013233211478904
155,FDB35,12.3,Regular,Starchy Foods,92.6804,OUT045,2002,High,Tier 2,Supermarket Type1,1010.6844,34.739211747466534,0.254460262123578
156,NCU05,11.8,Low Fat,Health and Hygiene,81.4618,OUT010,1998,High,Tier 3,Grocery Store,161.1236,15.802441948767141,0.313548115924813
157,DRY23,11.94125,Regular,Soft Drinks,42.1112,OUT019,1985,Small,Tier 1,Grocery Store,42.6112,8.423757266091519,0.4370510988431444
158,FDO24,11.1,Low Fat,Baking Goods,157.4604,OUT045,2002,Small,Tier 2,Supermarket Type1,3010.7476,54.2662500948001,0.42020594355625196
159,FDQ28,11.94125,Regular,Frozen Foods,153.0656,OUT027,1985,Medium,Tier 3,Supermarket Type3,6024.1584,71.691900409417,0.24522324726664885
160,FDV39,11.3,Low Fat,Meat,198.1426,OUT045,2002,Medium,Tier 2,Supermarket Type1,988.713,34.4242899395713,0.08540873491628359
161,NCO17,11.94125,Low Fat,Health and Hygiene,117.944,OUT019,1985,Small,Tier 1,Grocery Store,239.688,18.845543702732478,0.3584389236676173
162,FDU50,5.75,Regular,Dairy,112.8176,OUT013,1987,High,Tier 3,Supermarket Type1,1374.2112,39.432727115941255,0.27405776033529866
163,FDT12,11.94125,Regular,Baking Goods,226.8062,OUT027,1985,Medium,Tier 3,Supermarket Type3,4739.8302,65.1344338787437,0.22221927459156193
164,FDK58,11.35,Regular,Snack Foods,100.0016,OUT018,2009,Medium,Tier 3,Supermarket Type2,1012.016,34.75816210058006,0.21252245998952676
165,FDO08,11.94125,Regular,Fruits and Vegetables,165.7526,OUT019,1985,Small,Tier 1,Grocery Store,657.8104,29.043914384833226,0.3068448304925471
166,NCW29,14.0,Low Fat,Health and Hygiene,130.431,OUT049,1999,Medium,Tier 1,Supermarket Type1,778.986,31.17430197112752,0.17002303373366798
167,FDE04,19.75,Regular,Frozen Foods,179.766,OUT045,2002,Medium,Tier 2,Supermarket Type1,2336.958,48.97672366429681,0.13438608930986867
168,NCB19,6.525,Low Fat,Household,85.0882,OUT049,1999,Medium,Tier 1,Supermarket Type1,2233.0932,48.0809596091055,0.30072594500641275
169,FDV15,10.3,Low Fat,Meat,103.9648,OUT049,1999,Medium,Tier 1,Supermarket Type1,1661.8368,42.62661642589601,0.3826221530439658
170,FDL58,5.78,Regular,Snack Foods,264.7568,OUT049,1999,Medium,Tier 1,Supermarket Type1,4745.8224,65.1674223621605,0.2725148729886132
171,FDA08,11.85,Regular,Fruits and Vegetables,164.1526,OUT045,2002,Medium,Tier 2,Supermarket Type1,3124.5994,55.08553832059813,0.22402394068491877
172,FDT43,16.35,Low Fat,Fruits and Vegetables,50.1324,OUT018,2009,Medium,Tier 3,Supermarket Type2,467.3916,25.139389684176777,0.14363723054974292
173,NCX06,11.94125,Low Fat,Household,182.5976,OUT027,1985,Medium,Tier 3,Supermarket Type3,5070.7328,66.91914792549005,0.1249443075934234
174,FDT20,10.5,Low Fat,Fruits and Vegetables,37.6164,OUT046,1997,Small,Tier 1,Supermarket Type1,540.6296,26.739858946845807,0.20345870588401962
175,FDB41,19.0,Regular,Frozen Foods,48.0718,OUT046,1997,Small,Tier 1,Supermarket Type1,992.7078,34.48186604724165,0.3119505233206061
176,NCN55,14.6,Low Fat,Others,238.8538,OUT049,1999,Medium,Tier 1,Supermarket Type1,6008.845,71.61906252635549,0.24409628428142857
177,FDE40,11.94125,Regular,Dairy,62.9194,OUT027,1985,Medium,Tier 3,Supermarket Type3,2105.2596,46.94259144984345,0.3141077076418215
178,FDX49,11.94125,reg,Canned,232.63,OUT027,1985,Medium,Tier 3,Supermarket Type3,5359.69,68.41994717685192,0.3183373226626121
179,NCM53,18.75,Low Fat,Health and Hygiene,104.628,OUT045,2002,Medium,Tier 2,Supermarket Type1,745.696,30.610621745328512,0.22835598525109868
