,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
48,15.85,Regular,2.1067492584764773,Baking Goods,60.622,OUT046,1997,Small,Tier 1,Supermarket Type1,7.854243832182615
49,11.94125,Regular,1.3649443199216806,Dairy,196.8794,OUT019,1985,Small,Tier 1,Grocery Store,6.659701016295745
50,7.39,Low Fat,2.691492361853274,Health and Hygiene,143.8812,OUT046,1997,Small,Tier 1,Supermarket Type1,8.050252514538954
51,10.195,Low Fat,1.833808134551401,Frozen Foods,141.5154,OUT013,1987,High,Tier 3,Supermarket Type1,6.746285681096268
52,9.895,Regular,3.550965060885366,Canned,117.0492,OUT013,1987,High,Tier 3,Supermarket Type1,6.698199494428629
53,10.895,Low Fat,2.732728505919938,Fruits and Vegetables,196.3794,OUT017,2007,High,Tier 2,Supermarket Type1,8.045995377415636
54,12.15,Low Fat,3.5487692941127036,Household,151.4708,OUT017,2007,High,Tier 2,Supermarket Type1,8.4795049482308
55,7.905,Low Fat,4.599873736970009,Snack Foods,249.0408,OUT018,2009,Medium,Tier 3,Supermarket Type2,8.741699014416882
56,9.195,Low Fat,3.033281753595619,Household,106.1622,OUT045,2002,Medium,Tier 2,Supermarket Type1,7.6578705219330105
57,8.365,Low Fat,2.631669925800138,Hard Drinks,38.0506,OUT049,1999,Medium,Tier 1,Supermarket Type1,6.680807751716761
58,15.1,Low Fat,1.7516854433265976,Snack Foods,194.511,OUT046,1997,Small,Tier 1,Supermarket Type1,8.499085227366807
59,11.94125,Low Fat,2.7955351574855882,Canned,180.0344,OUT019,1985,Small,Tier 1,Grocery Store,6.793658939103745
61,7.97,Regular,3.2170991291272277,Meat,87.3514,OUT045,2002,Small,Tier 2,Supermarket Type1,6.968489824168541
62,11.94125,Low Fat,4.415370493613208,Fruits and Vegetables,38.2848,OUT027,1985,Medium,Tier 3,Supermarket Type3,6.183535094355474
63,11.94125,Regular,1.8952152001407176,Frozen Foods,51.0692,OUT019,1985,Small,Tier 1,Grocery Store,4.995911428031067
64,11.94125,Low Fat,3.64906203441004,Snack Foods,255.8356,OUT027,1985,Medium,Tier 3,Supermarket Type3,7.841239747759409
65,17.7,LF,1.634405904687971,Snack Foods,185.4266,OUT010,1998,Medium,Tier 3,Grocery Store,5.217251552346126
66,19.35,Low Fat,3.4087594521807474,Meat,172.5738,OUT035,2004,Small,Tier 2,Supermarket Type1,8.489958963656685
67,13.65,Regular,2.538985441125209,Dairy,186.024,OUT045,2002,Small,Tier 2,Supermarket Type1,7.019783118556092
68,17.6,Low Fat,3.177236020845316,Soft Drinks,164.8526,OUT045,2002,Small,Tier 2,Supermarket Type1,7.741679712402023
69,8.645,Low Fat,1.941959462305374,Health and Hygiene,95.841,OUT046,1997,Small,Tier 1,Supermarket Type1,7.614490226302785
70,15.6,Regular,2.250979163481949,Snack Foods,170.1764,OUT046,1997,Small,Tier 1,Supermarket Type1,8.141925904634396
71,15.85,Regular,2.1075817823158296,Baking Goods,59.222,OUT013,1987,High,Tier 3,Supermarket Type1,6.395628809483099
73,7.855,Low Fat,4.480754793117746,Canned,189.6188,OUT017,2007,High,Tier 2,Supermarket Type1,7.73413250676664
74,7.825,low fat,1.6800902958638873,Household,254.3698,OUT049,1999,Medium,Tier 1,Supermarket Type1,8.627075874643804
75,8.39,Regular,3.721168747555993,Frozen Foods,114.0176,OUT046,1997,Small,Tier 1,Supermarket Type1,7.736460796526232
76,12.85,Low Fat,3.4042776407931465,Snack Foods,172.3422,OUT049,1999,Medium,Tier 1,Supermarket Type1,7.0959722569136385
77,11.94125,Low Fat,2.174012967230294,Baking Goods,89.9804,OUT019,1985,Small,Tier 1,Grocery Store,6.466397880371305
78,19.0,Low Fat,2.1842998989958247,Frozen Foods,104.9622,OUT017,2007,Small,Tier 2,Supermarket Type1,7.370188449481229
80,7.76,Low Fat,2.8242653995828704,Snack Foods,101.87,OUT046,1997,Small,Tier 1,Supermarket Type1,7.437082684311259
81,11.8,reg,4.262498846428346,Frozen Foods,180.3344,OUT046,1997,Small,Tier 1,Supermarket Type1,7.26366256834948
82,16.75,low fat,3.0959738246069337,Snack Foods,187.9556,OUT018,2009,Medium,Tier 3,Supermarket Type2,8.454016941965103
83,11.94125,Low Fat,1.2261578868159935,Household,194.6136,OUT019,1985,Small,Tier 1,Grocery Store,6.368600137095179
84,11.94125,Regular,3.4615193967686193,Baking Goods,171.3764,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.03656538897657
85,15.5,Regular,2.068312816297393,Fruits and Vegetables,177.0028,OUT017,2007,Medium,Tier 2,Supermarket Type1,7.815787684555745
86,6.055,Low Fat,3.672852652165199,Fruits and Vegetables,160.992,OUT035,2004,Small,Tier 2,Supermarket Type1,7.907086313556995
87,11.94125,Regular,3.2427158279084165,Breakfast,155.963,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.09734199802637
88,6.305,Regular,2.0946301955014843,Snack Foods,95.6436,OUT046,1997,Small,Tier 1,Supermarket Type1,6.494971252815361
89,20.85,Low Fat,3.228320132272832,Meat,117.2808,OUT049,1999,Medium,Tier 1,Supermarket Type1,7.328667398658476
90,20.75,Low Fat,3.208401052350685,Fruits and Vegetables,122.173,OUT010,1998,Medium,Tier 3,Grocery Store,5.912202159905222
91,8.895,Low Fat,2.251187749519789,Dairy,39.9138,OUT049,1999,Medium,Tier 1,Supermarket Type1,6.537321254388315
92,19.6,Low Fat,3.38227175646698,Soft Drinks,55.1614,OUT045,2002,Medium,Tier 2,Supermarket Type1,7.230950478823586
93,19.7,Low Fat,2.9334590913602523,Fruits and Vegetables,57.893,OUT035,2004,Small,Tier 2,Supermarket Type1,6.433780575447474
94,9.8,Low Fat,3.7140452326296507,Health and Hygiene,114.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,7.1501846181716875
95,11.94125,Low Fat,4.6341258851328755,Frozen Foods,120.0414,OUT019,1985,Small,Tier 1,Grocery Store,6.189014560120099
96,12.15,Low Fat,2.0296327574324127,Frozen Foods,246.046,OUT049,1999,Medium,Tier 1,Supermarket Type1,7.116174964231158
97,8.75,Regular,2.595439317996435,Fruits and Vegetables,187.4556,OUT035,2004,Small,Tier 2,Supermarket Type1,8.230873390650892
98,11.94125,Low Fat,3.5592640841069216,Household,149.9708,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.381064875417547
99,8.75,Regular,2.595250213566961,Fruits and Vegetables,187.8556,OUT046,1997,Small,Tier 1,Supermarket Type1,7.181051266152214
100,13.3,Low Fat,2.7536478936364226,Frozen Foods,151.0708,OUT045,2002,Small,Tier 2,Supermarket Type1,7.498675695219074
101,11.94125,Regular,3.083518590732221,Snack Foods,178.5344,OUT027,1985,Medium,Tier 3,Supermarket Type3,7.956809748909426
102,8.31,Regular,2.1553966821836825,Snack Foods,179.1028,OUT049,1999,Medium,Tier 1,Supermarket Type1,8.267772808298803
103,16.75,Regular,3.6955896773895254,Soft Drinks,38.7822,OUT013,1987,High,Tier 3,Supermarket Type1,6.503984834120723
104,19.75,Low Fat,3.3805742381403245,Snack Foods,212.0902,OUT018,2009,Medium,Tier 3,Supermarket Type2,8.066475350045842
105,17.1,Regular,3.062521859771828,Canned,141.1838,OUT013,1987,High,Tier 3,Supermarket Type1,7.717680901874635
106,10.5,Regular,2.1492058363514412,Baking Goods,163.121,OUT013,1987,High,Tier 3,Supermarket Type1,7.492387529501885
108,11.94125,low fat,1.276636422625162,Soft Drinks,225.372,OUT019,1985,Small,Tier 1,Grocery Store,6.520791952437104
109,14.15,Low Fat,3.326633517014639,Soft Drinks,41.4138,OUT013,1987,High,Tier 3,Supermarket Type1,6.6998401838860895
110,13.3,Low Fat,2.528153256305752,Dairy,232.53,OUT046,1997,Small,Tier 1,Supermarket Type1,6.549779489310357
111,8.89,low fat,5.202011137510944,Frozen Foods,102.4016,OUT017,2007,Small,Tier 2,Supermarket Type1,7.912951433009393
112,11.94125,Regular,2.739148654097914,Meat,176.937,OUT019,1985,Small,Tier 1,Grocery Store,5.17296387214501
113,11.94125,Low Fat,2.636144458147552,Snack Foods,121.7098,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.318091602040775
115,7.5,Low Fat,3.4210630641462716,Frozen Foods,239.0906,OUT049,1999,Medium,Tier 1,Supermarket Type1,8.689845652806627
116,16.85,Regular,1.8278423734967393,Frozen Foods,192.4478,OUT017,2007,Medium,Tier 2,Supermarket Type1,8.48543313819848
117,7.485,Low Fat,2.6720464356271587,Snack Foods,109.0228,OUT035,2004,Small,Tier 2,Supermarket Type1,7.84071605044448
118,11.6,Low Fat,3.189863166881915,Soft Drinks,140.3154,OUT017,2007,Small,Tier 2,Supermarket Type1,7.844897969764378
119,11.65,Low Fat,3.2168480571794484,Snack Foods,227.0694,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.040402405758828
120,13.0,Low Fat,3.3436649144555575,Household,47.5034,OUT017,2007,Medium,Tier 2,Supermarket Type1,6.5227508169224375
121,12.65,LF,2.76433730699414,Soft Drinks,159.0578,OUT045,2002,Medium,Tier 2,Supermarket Type1,7.642980337110979
122,20.25,Regular,1.7606167899434182,Canned,92.512,OUT010,1998,Medium,Tier 3,Grocery Store,5.228023649328037
123,8.6,Regular,3.2139397274664567,Canned,190.153,OUT035,2004,Small,Tier 2,Supermarket Type1,8.01831194866722
124,12.6,Low Fat,3.0147517220147937,Breads,62.7194,OUT017,2007,Small,Tier 2,Supermarket Type1,6.764890868927302
125,17.7,Low Fat,4.4558057993522455,Frozen Foods,95.041,OUT035,2004,Small,Tier 2,Supermarket Type1,6.767192365915581
126,14.15,Low Fat,1.6955008575093196,Soft Drinks,82.4276,OUT046,1997,Small,Tier 1,Supermarket Type1,7.036312420507302
127,19.25,Low Fat,2.2793616664462135,Dairy,52.7956,OUT017,2007,Small,Tier 2,Supermarket Type1,6.833166637479256
128,8.88,Low Fat,2.4451977442815385,Hard Drinks,151.7682,OUT013,1987,High,Tier 3,Supermarket Type1,6.636393962147127
129,20.5,Low Fat,3.4162557824191175,Household,40.2822,OUT045,2002,High,Tier 2,Supermarket Type1,6.561143247960672
130,11.94125,Low Fat,3.3870012354688477,Canned,180.5976,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.983225746373046
131,13.5,Low Fat,2.621838743963173,Household,160.292,OUT046,1997,Small,Tier 1,Supermarket Type1,7.271097546836998
132,11.94125,Low Fat,1.9355940920188126,Health and Hygiene,224.4404,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.850267146126953
133,8.89,Low Fat,4.692558070211311,Frozen Foods,101.7016,OUT010,1998,Medium,Tier 3,Grocery Store,4.617114567005064
134,7.855,Low Fat,4.482329915284699,Canned,188.5188,OUT018,2009,Medium,Tier 3,Supermarket Type2,6.858663769412741
135,7.235,Low Fat,2.565826578107086,Household,116.0492,OUT046,1997,Small,Tier 1,Supermarket Type1,7.585502689429533
136,11.94125,Low Fat,2.814129708505999,Starchy Foods,165.4526,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.568358285586491
137,6.92,Low Fat,3.256264605035838,Dairy,60.5852,OUT045,2002,Medium,Tier 2,Supermarket Type1,7.181051266152214
138,9.3,Low Fat,3.1416930259147473,Fruits and Vegetables,90.8172,OUT017,2007,Medium,Tier 2,Supermarket Type1,6.282833315337753
139,18.5,Low Fat,2.867929118500619,Others,132.1284,OUT010,1998,Medium,Tier 3,Grocery Store,5.574648257413268
140,8.02,Low Fat,3.918710064050603,Household,154.5972,OUT035,2004,Small,Tier 2,Supermarket Type1,7.2457797388527085
141,9.195,Low Fat,3.029667267168158,Household,105.1622,OUT017,2007,Small,Tier 2,Supermarket Type1,7.4347269706188
142,12.8,Low Fat,2.3944607724525935,Others,105.5938,OUT045,2002,Small,Tier 2,Supermarket Type1,7.670370684697241
143,16.6,Low Fat,3.589139970900166,Household,177.6344,OUT049,1999,Medium,Tier 1,Supermarket Type1,7.892271227771854
145,18.6,Low Fat,3.2351081846610983,Frozen Foods,246.3802,OUT049,1999,Medium,Tier 1,Supermarket Type1,8.90522807186147
146,16.0,Low Fat,2.7995649466880494,Starchy Foods,226.8404,OUT035,2004,Small,Tier 2,Supermarket Type1,8.74848445181701
147,17.6,Low Fat,2.4971836324776255,Health and Hygiene,160.692,OUT035,2004,Small,Tier 2,Supermarket Type1,7.376458062494825
148,21.25,Low Fat,1.8620727184587405,Snack Foods,178.237,OUT035,2004,Small,Tier 2,Supermarket Type1,6.27157616081312
149,7.235,Low Fat,2.5660156907928955,Household,117.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,7.585502689429533
150,14.6,Low Fat,1.8877032287015962,Soft Drinks,50.3692,OUT017,2007,Small,Tier 2,Supermarket Type1,6.9418215770863805
151,13.85,reg,3.6495827438485087,Frozen Foods,161.521,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.492387529501885
152,13.65,Regular,2.614430808965009,Frozen Foods,197.6426,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.9260235145767455
153,11.94125,Low Fat,3.177650367749927,Soft Drinks,31.29,OUT027,1985,Medium,Tier 3,Supermarket Type3,6.801093917591262
154,7.365,Low Fat,3.1568345129136457,Fruits and Vegetables,226.172,OUT046,1997,Small,Tier 1,Supermarket Type1,8.061236993384254
155,18.35,Low Fat,4.26291782934972,Household,223.5746,OUT018,2009,Medium,Tier 3,Supermarket Type2,8.18590569875093
157,18.6,Low Fat,1.8778509378268173,Breakfast,99.8358,OUT017,2007,Medium,Tier 2,Supermarket Type1,7.554952862140152
158,13.85,Low Fat,3.474759727312479,Soft Drinks,140.9154,OUT017,2007,Medium,Tier 2,Supermarket Type1,7.439432861656213
159,14.0,Regular,2.8071507512929785,Frozen Foods,154.5656,OUT013,1987,High,Tier 3,Supermarket Type1,7.812560140064878
160,14.0,Regular,3.1719242546391158,Snack Foods,54.764,OUT013,1987,High,Tier 3,Supermarket Type1,7.19413650570087
161,11.94125,Low Fat,2.559189375056312,Fruits and Vegetables,97.0094,OUT027,1985,Medium,Tier 3,Supermarket Type3,7.500517655585135
162,5.905,Low Fat,3.082637234387839,Canned,222.5456,OUT018,2009,Medium,Tier 3,Supermarket Type2,8.106419216177486
163,7.27,Low Fat,2.6439782716140945,Soft Drinks,114.2518,OUT046,1997,Small,Tier 1,Supermarket Type1,7.870391818590597
164,6.155,Regular,2.35746511727699,Meat,214.556,OUT046,1997,Small,Tier 1,Supermarket Type1,7.926504399414097
165,19.5,Regular,2.55607396652556,Soft Drinks,233.4958,OUT017,2007,Small,Tier 2,Supermarket Type1,8.589514485553803
166,15.2,Low Fat,3.847759037601886,Canned,216.8824,OUT017,2007,Small,Tier 2,Supermarket Type1,7.951197012004468
167,12.15,Regular,3.1585937558339188,Canned,125.0046,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.4633999926286325
168,11.94125,Low Fat,3.666002107634798,Household,198.8084,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.622532042839396
169,12.6,Low Fat,3.016326894394277,Breads,61.9194,OUT018,2009,Medium,Tier 3,Supermarket Type2,6.428418632306089
170,14.5,Low Fat,3.9387937658727306,Others,164.821,OUT035,2004,Small,Tier 2,Supermarket Type1,7.659441614165051
171,16.6,Low Fat,2.0962308811712105,Fruits and Vegetables,173.0738,OUT017,2007,Small,Tier 2,Supermarket Type1,8.248796906839797
172,11.8,Regular,2.8581675781415066,Meat,151.4366,OUT013,1987,High,Tier 3,Supermarket Type1,7.21540864097641
173,13.1,Regular,3.1200355876001744,Fruits and Vegetables,178.8318,OUT013,1987,High,Tier 3,Supermarket Type1,8.286395320396805
174,17.7,Low Fat,1.2314625350397068,Fruits and Vegetables,115.1834,OUT010,1998,High,Tier 3,Grocery Store,5.845137929324676
176,12.3,Regular,2.7372211923021785,Starchy Foods,92.6804,OUT045,2002,High,Tier 2,Supermarket Type1,6.918383004114363
177,11.8,Low Fat,2.3196049017240394,Health and Hygiene,81.4618,OUT010,1998,High,Tier 3,Grocery Store,5.082171772315474
178,11.94125,Regular,1.6554103194625305,Soft Drinks,42.1112,OUT019,1985,Small,Tier 1,Grocery Store,3.752117129518459
179,11.1,Low Fat,1.7340206921647598,Baking Goods,157.4604,OUT045,2002,Small,Tier 2,Supermarket Type1,8.009943698996702
180,11.94125,Regular,2.811172540013989,Frozen Foods,153.0656,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.703533063954744
181,11.3,Low Fat,4.920613802052041,Meat,198.1426,OUT045,2002,Medium,Tier 2,Supermarket Type1,6.896404097395587
182,11.94125,Low Fat,2.05199399959008,Health and Hygiene,117.944,OUT019,1985,Small,Tier 1,Grocery Store,5.4793380776089435
183,5.75,Regular,2.5888327813334246,Dairy,112.8176,OUT013,1987,High,Tier 3,Supermarket Type1,7.225635172760241
184,11.94125,Regular,3.008181322404435,Baking Goods,226.8062,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.46375659126266
185,11.35,Regular,3.0974152042690575,Snack Foods,100.0016,OUT018,2009,Medium,Tier 3,Supermarket Type2,6.919699659999109
186,11.94125,Regular,2.362826194613754,Fruits and Vegetables,165.7526,OUT019,1985,Small,Tier 1,Grocery Store,6.488916743906655
187,14.0,Low Fat,3.5436427171183476,Health and Hygiene,130.431,OUT049,1999,Medium,Tier 1,Supermarket Type1,6.657993073950589
188,19.75,Regular,4.014076716817042,Frozen Foods,179.766,OUT045,2002,Medium,Tier 2,Supermarket Type1,7.756605362618699
189,6.525,Low Fat,2.4031118213595226,Household,85.0882,OUT049,1999,Medium,Tier 1,Supermarket Type1,7.711142988541941
190,10.3,Low Fat,1.9214146446699756,Meat,103.9648,OUT049,1999,Medium,Tier 1,Supermarket Type1,7.4156787756481055
191,5.78,Regular,2.6001241731870652,Snack Foods,264.7568,OUT049,1999,Medium,Tier 1,Supermarket Type1,8.465020015309433
192,11.85,Regular,2.9920047095609537,Fruits and Vegetables,164.1526,OUT045,2002,Medium,Tier 2,Supermarket Type1,8.047061361953205
193,16.35,Low Fat,3.8809287806096298,Fruits and Vegetables,50.1324,OUT018,2009,Medium,Tier 3,Supermarket Type2,6.1471674501845985
194,11.94125,Low Fat,4.159774360429104,Household,182.5976,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.531240622629989
195,10.5,Low Fat,3.184584428358559,Fruits and Vegetables,37.6164,OUT046,1997,Small,Tier 1,Supermarket Type1,6.292734386320466
196,19.0,Regular,2.3298213656965423,Frozen Foods,48.0718,OUT046,1997,Small,Tier 1,Supermarket Type1,6.900436360923526
197,14.6,Low Fat,2.820385047630618,Others,238.8538,OUT049,1999,Medium,Tier 1,Supermarket Type1,8.70098782935987
198,11.94125,Regular,2.316038667847025,Dairy,62.9194,OUT027,1985,Medium,Tier 3,Supermarket Type3,7.652194063928205
199,11.94125,reg,2.289287390647209,Canned,232.63,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.586661416571397
200,18.75,Low Fat,2.9536990576585906,Health and Hygiene,104.628,OUT045,2002,Medium,Tier 2,Supermarket Type1,6.614318010447928
201,5.26,Regular,3.1757088938617954,Baking Goods,161.8868,OUT035,2004,Small,Tier 2,Supermarket Type1,8.094297855645141
202,18.25,Low Fat,2.9124176444580394,Snack Foods,140.2154,OUT045,2002,Small,Tier 2,Supermarket Type1,7.439432861656213
203,11.94125,Low Fat,2.546409986561366,Baking Goods,177.937,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.810550031871395
204,15.1,Low Fat,2.9500121695813255,Meat,242.7512,OUT046,1997,Small,Tier 1,Supermarket Type1,8.323601257851744
205,15.5,Regular,3.159075966605151,Baking Goods,81.5934,OUT010,1998,Small,Tier 3,Grocery Store,5.791712762651096
206,13.65,Low Fat,2.722155976417958,Frozen Foods,45.7402,OUT049,1999,Medium,Tier 1,Supermarket Type1,6.660553894812263
207,16.1,LF,3.7454449802171474,Soft Drinks,189.3846,OUT045,2002,Medium,Tier 2,Supermarket Type1,8.197155241084848
208,11.94125,Regular,2.9633888471252403,Snack Foods,107.3622,OUT019,1985,Small,Tier 1,Grocery Store,5.760750537047128
209,12.85,Low Fat,1.7976112435106768,Frozen Foods,39.7164,OUT010,1998,Small,Tier 3,Grocery Store,5.445436525933262
210,9.5,LF,3.17298516973909,Soft Drinks,32.99,OUT035,2004,Small,Tier 2,Supermarket Type1,4.891551412706824
211,13.8,Low Fat,2.8457362351667848,Dairy,245.1802,OUT035,2004,Small,Tier 2,Supermarket Type1,8.639524906128464
213,19.7,Low Fat,3.6154909349902047,Household,96.0726,OUT045,2002,Small,Tier 2,Supermarket Type1,7.148615990399061
215,6.67,Regular,1.8934287326143848,Snack Foods,130.0626,OUT010,1998,Small,Tier 3,Grocery Store,4.876437774896776
217,13.65,Regular,2.0026610501751447,Frozen Foods,260.0936,OUT010,1998,Small,Tier 3,Grocery Store,5.56449588594925
218,17.2,Low Fat,1.8568178694793573,Meat,160.6578,OUT013,1987,High,Tier 3,Supermarket Type1,8.213525195578592
220,4.88,Regular,2.0121511703575217,Baking Goods,52.9298,OUT049,1999,Medium,Tier 1,Supermarket Type1,7.598601113475451
221,5.425,Regular,2.1617810416292165,Baking Goods,88.3514,OUT017,2007,Medium,Tier 2,Supermarket Type1,7.256171896620322
222,15.85,Regular,2.206993161976231,Frozen Foods,37.2506,OUT046,1997,Small,Tier 1,Supermarket Type1,5.5821954630486506
223,7.5,Low Fat,2.9751839439707286,Canned,121.7072,OUT017,2007,Small,Tier 2,Supermarket Type1,8.175465633754246
224,12.65,Low Fat,2.767195802209201,Soft Drinks,161.5578,OUT013,1987,High,Tier 3,Supermarket Type1,7.786081180751653
225,11.94125,Low Fat,4.067684150433793,Others,211.956,OUT019,1985,Small,Tier 1,Grocery Store,5.36155504195256
226,20.75,Low Fat,3.724327083110071,Fruits and Vegetables,124.173,OUT013,1987,High,Tier 3,Supermarket Type1,7.991643701585058
227,11.94125,Low Fat,3.000644820377202,Dairy,152.134,OUT019,1985,Small,Tier 1,Grocery Store,5.031313355081982
229,11.94125,Low Fat,2.2870900831155705,Canned,181.9292,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.039575496603074
